moduleID,module_current,time(s)
mem0,4.44444e+06,2.25e-06
mem1,555.556,2.25e-06
cpu0,1.11111e+07,2.26e-06
mem0,4.44444e+06,2.26e-06
mem1,555.556,2.26e-06
cpu0,1.22222e+08,2.27e-06
mem0,6.66667e+06,2.27e-06
mem1,555.556,2.27e-06
cpu0,1.11111e+07,2.28e-06
mem0,4.44444e+06,2.28e-06
mem1,555.556,2.28e-06
cpu0,1.11111e+07,2.29e-06
mem0,4.44444e+06,2.29e-06
mem1,555.556,2.29e-06
cpu0,1.11111e+07,2.3e-06
mem0,4.44444e+06,2.3e-06
mem1,555.556,2.3e-06
cpu0,1.11111e+07,2.31e-06
mem0,4.44444e+06,2.31e-06
mem1,555.556,2.31e-06
cpu0,6.66667e+07,2.32e-06
mem0,4.44444e+06,2.32e-06
mem1,1.66722e+06,2.32e-06
cpu0,1.11111e+07,2.33e-06
mem0,4.44444e+06,2.33e-06
mem1,555.556,2.33e-06
cpu0,1.11111e+07,2.34e-06
mem0,4.44444e+06,2.34e-06
mem1,555.556,2.34e-06
cpu0,1.11111e+07,2.35e-06
mem0,4.44444e+06,2.35e-06
mem1,555.556,2.35e-06
cpu0,1.11111e+07,2.36e-06
mem0,4.44444e+06,2.36e-06
mem1,555.556,2.36e-06
cpu0,1.22222e+08,2.37e-06
mem0,4.44444e+06,2.37e-06
mem1,4.445e+06,2.37e-06
cpu0,1.11111e+07,2.38e-06
mem0,4.44444e+06,2.38e-06
mem1,555.556,2.38e-06
cpu0,1.11111e+07,2.39e-06
mem0,4.44444e+06,2.39e-06
mem1,555.556,2.39e-06
cpu0,1.11111e+07,2.4e-06
mem0,4.44444e+06,2.4e-06
mem1,555.556,2.4e-06
cpu0,1.11111e+07,2.41e-06
mem0,4.44444e+06,2.41e-06
mem1,555.556,2.41e-06
cpu0,1.22222e+08,2.42e-06
mem0,2.22233e+06,2.42e-06
mem1,555.556,2.42e-06
cpu0,1.11111e+07,2.43e-06
mem0,111.111,2.43e-06
mem1,555.556,2.43e-06
cpu0,1.11111e+07,2.44e-06
mem0,111.111,2.44e-06
mem1,555.556,2.44e-06
cpu0,1.11111e+07,2.45e-06
mem0,111.111,2.45e-06
mem1,555.556,2.45e-06
cpu0,1.11111e+07,2.46e-06
mem0,111.111,2.46e-06
mem1,555.556,2.46e-06
cpu0,1.22222e+08,2.47e-06
mem0,2.22233e+06,2.47e-06
mem1,555.556,2.47e-06
cpu0,1.11111e+07,2.48e-06
mem0,111.111,2.48e-06
mem1,555.556,2.48e-06
cpu0,1.11111e+07,2.49e-06
mem0,111.111,2.49e-06
mem1,555.556,2.49e-06
cpu0,1.11111e+07,2.5e-06
mem0,111.111,2.5e-06
mem1,555.556,2.5e-06
cpu0,1.11111e+07,2.51e-06
mem0,111.111,2.51e-06
mem1,555.556,2.51e-06
cpu0,1.22222e+08,2.52e-06
mem0,6.66667e+06,2.52e-06
mem1,555.556,2.52e-06
cpu0,1.11111e+07,2.53e-06
